pnum,april_lay_date,clutch_size,num_fledglings,father,mother,box,year,wytham_born,natal_box,age,x,y,recorded,repertoire_size,self_similarity,ac_sim,shared,total_rep,mean_spat_dist,mean_ac_sim,dispersal_distance,prop_immigrants,mean_dispersal
20201EX59,16.0,7.0,7,,vz32698,EX59,2020,,,,446392.33,208565.71,True,,,,,,,,,,
20201EX62,21.0,6.0,0,,,EX62,2020,,,,446299.33,208425.71,True,,,,,,,,,,
20201EX62A,21.0,10.0,9,ty69097,ty69065,EX62A,2020,False,,5.0,446322.33,208376.71,True,1.0,,0.4368504301994302,0.0,32.0,569.473,0.42838615,,0.6,533.2
20201EX62B,27.0,9.0,0,,,EX62B,2020,,,,446330.33,208317.71,True,,,,,,,,,,
20201EX62D,26.0,4.0,0,,,EX62D,2020,,,,446300.77,208230.55,True,,,,,,,,,,
20201EX62G,20.0,10.0,8,ty69066,vz31891,EX62G,2020,False,,5.0,446411.61,208050.73,True,,,,,,,,,0.6,694.0
20201EX64,22.0,9.0,9,vz30485,ty69052,EX64,2020,True,EX32,6.0,446184.33,208449.71,True,,,,,,,,538.0,0.8,320.6
20201EX65,29.0,8.0,0,,ty69098,EX65,2020,,,,446127.33,208492.71,True,,,,,,,,,,
20201EX69,33.0,9.0,0,vz31039,,EX69,2020,True,EX75A,,445899.33,208257.71,True,,,,,,,,199.5,0.7,846.4
20201EX72A,51.0,4.0,0,,,EX72A,2020,,,,445912.33,208188.71,False,,,,,,,,,,
20201EX74,22.0,9.0,0,,,EX74,2020,,,,445909.33,208141.71,True,,,,,,,,,,
20201EX75,15.0,6.0,0,,,EX75,2020,,,,445916.33,208096.71,True,,,,,,,,,,
20201EX76,19.0,8.0,8,,ts46392,EX76,2020,,,,445899.33,207993.71,True,4.0,0.31298833333333337,0.3427265765669516,4.0,56.0,346.19300000000004,0.331949,,,
20201EX78,25.0,10.0,0,ty69096,,EX78,2020,False,,5.0,446079.33,207964.71,True,2.0,0.52911,0.3936350776353276,4.0,40.0,308.915,0.41227725,,0.6,1178.7
20201EX84,,,0,,,EX84,2020,,,,446086.33,207856.71,False,,,,,,,,,,
20201EX9,15.0,9.0,7,,ty69001,EX9,2020,,,,445503.33,208584.71,True,,,,,,,,,,
20201EX91,29.0,7.0,7,z032661,tl38577,EX91,2020,False,,6.0,445759.33,207904.71,True,,,,,,,,,0.5,909.2
20201HE1,24.0,7.0,5,vz31222,tp27186,HE1,2020,True,C157,5.0,446508.21,206511.4,False,,,,,,,,356.4,0.7,445.3
20201MP12,19.0,7.0,0,,,MP12,2020,,,,448089.72,207730.76,True,,,,,,,,,,
20201MP2,23.0,6.0,0,tr42598,vz30572,MP2,2020,False,,5.0,447995.72,207860.76,True,,,,,,,,,0.5,346.5
20201MP20,19.0,6.0,5,,vz30800,MP20,2020,,,,448277.72,207566.76,True,1.0,,0.38597959116809116,2.0,38.0,382.727,0.4137792,,,
20201MP25,,,0,,ts47926,MP25,2020,,,,448397.72,207421.76,True,2.0,0.26291,0.3438228653846154,8.0,43.0,258.265,0.406208,,,
20201MP29,15.0,10.0,10,tv44566,vz33786,MP29,2020,True,SW129,6.0,448377.72,207353.76,True,3.0,0.41534000000000004,0.3800308504273504,0.0,52.0,221.14000000000001,0.3957495555555556,2215.4,0.4,345.7
20201MP34,15.0,7.0,6,ty70022,ty70024,MP34,2020,False,,6.0,448488.72,207295.76,True,2.0,0.31842,0.33529221438746437,8.0,46.0,177.749,0.399336125,,0.4,622.4
20201MP37,17.0,8.0,8,ts47913,tw41801,MP37,2020,True,MP20,5.0,448396.72,207260.76,True,,,,,,,,328.3,0.5,681.2
20201MP41,18.0,6.0,3,,vz32536,MP41,2020,,,,448487.72,207218.76,True,3.0,0.4440266666666666,0.40654255318138655,12.0,55.0,141.281,0.4476279444444445,,,
20201MP42,25.0,8.0,3,ts47968,te80990,MP42,2020,True,MP92,5.0,448447.72,207210.76,True,3.0,0.33581666666666665,0.3593645322886989,12.0,54.0,140.057,0.4087736111111111,861.6,0.4,487.4
20201MP47,40.0,5.0,0,,,MP47,2020,,,,448510.72,207193.76,False,,,,,,,,,,
20201MP48,18.0,8.0,6,vz32539,vz33789,MP48,2020,True,MP38,6.0,448556.72,207188.76,True,3.0,0.6016833333333333,0.39073091547958216,6.0,59.0,151.913,0.4264346944444445,130.6,0.5,288.1
20201MP50,18.0,8.0,0,,vz30901,MP50,2020,,,,448460.2,207118.29,True,1.0,,0.4380998561253561,6.0,39.0,108.499,0.4501328333333333,,,
20201MP52,19.0,5.0,0,,vs84272,MP52,2020,,,,448469.72,207074.76,True,,,,,,,,,,
20201MP57,13.0,8.0,8,vs84233,vs84264,MP57,2020,True,MP69,5.0,448512.72,207064.76,True,1.0,,0.39043071082621084,6.0,38.0,99.184,0.39631468333333336,104.2,0.6,284.6
20201MP58,13.0,7.0,6,vs84234,vz33794,MP58,2020,True,MP69,5.0,448488.72,207049.76,True,4.0,0.5181366666666667,0.36635057407407406,2.0,65.0,90.08500000000001,0.36622957083333335,94.2,0.6,287.1
20201MP6,23.0,8.0,5,vz32685,ty70158,MP6,2020,True,B27,6.0,448030.72,207795.76,True,,,,,,,,247.3,0.5,408.0
20201MP61,13.0,7.0,6,ty70013,vs84232,MP61,2020,False,,6.0,448589.72,207010.76,True,4.0,0.35581833333333335,0.33333398504273504,8.0,67.0,120.276,0.3636903791666667,,0.5,248.5
20201MP65,15.0,6.0,6,ty70009,ty70010,MP65,2020,False,,6.0,448602.72,206929.76,True,3.0,0.42194666666666664,0.3996142169990503,6.0,58.0,134.643,0.4155570055555556,,0.5,248.5
20201MP66,23.0,7.0,0,,,MP66,2020,,,,448621.72,206914.76,True,2.0,0.36706,0.40654045014245016,6.0,49.0,153.355,0.4239258166666667,,,
20201MP67,13.0,9.0,9,ty70023,vs84212,MP67,2020,False,,6.0,448468.72,207029.76,True,4.0,0.38389999999999996,0.3593076210826211,10.0,65.0,83.655,0.379482525,,0.5,248.5
20201MP68,12.0,9.0,9,vs84238,vs84227,MP68,2020,True,MP69,5.0,448478.72,206992.76,True,5.0,0.389786,0.35006786752136754,2.0,74.0,89.314,0.36254559999999997,52.0,0.6,297.6
20201MP69,9.0,7.0,7,vz33790,vz33791,MP69,2020,False,,6.0,448519.72,206960.76,True,1.0,,0.28186324643874644,2.0,40.0,97.773,0.28866939999999996,,0.5,248.5
20201MP70,19.0,6.0,0,,,MP70,2020,,,,448559.72,206926.76,True,,,,,,,,,,
20201MP71,7.0,8.0,8,,vz33795,MP71,2020,,,,448536.72,206873.76,True,3.0,0.4874666666666667,0.3891664074074074,4.0,58.0,143.669,0.38618793888888886,,,
20201MP73,10.0,9.0,9,,vs84206,MP73,2020,,,,448396.98,206917.97,True,3.0,0.28182,0.3495901932573599,4.0,57.0,136.804,0.35953977777777774,,,
20201MP75,13.0,8.0,8,ty70012,ty70021,MP75,2020,False,,6.0,448359.72,206990.76,True,3.0,0.33169,0.3773878855650522,6.0,55.0,125.697,0.38268057222222224,,0.5,288.1
20201MP76,12.0,9.0,7,,ty70011,MP76,2020,,,,448390.72,207004.76,True,1.0,,0.40194878205128204,0.0,37.0,103.975,0.4005022666666667,,,
20201MP77,15.0,10.0,10,vz30902,vz30598,MP77,2020,False,,6.0,448383.72,207042.76,True,2.0,0.26982,0.38737610398860395,8.0,46.0,109.691,0.40487917500000004,,0.4,261.8
20201MP80,17.0,8.0,2,,ty70078,MP80,2020,,,,448343.72,207270.76,True,,,,,,,,,,
20201MP84,16.0,10.0,8,ty70033,vs84123,MP84,2020,False,,6.0,448290.72,207471.76,False,,,,,,,,,0.4,723.0
20201MP87,19.0,9.0,9,te80906,ty70095,MP87,2020,True,B225,5.0,448221.72,207584.76,True,,,,,,,,555.0,0.6,917.3
20201MP89,21.0,10.0,0,,,MP89,2020,,,,448096.72,207648.76,True,,,,,,,,,,
20201MP93,19.0,8.0,7,ty70087,vs84062,MP93,2020,False,,5.0,448018.72,207967.76,True,,,,,,,,,0.5,346.5
20201MP96,25.0,9.0,7,vz30994,ts47904,MP96,2020,True,B11,5.0,447925.72,207923.76,True,4.0,0.3951883333333333,0.37383024750712246,0.0,65.0,360.974,0.3711975708333333,392.2,0.6,335.0
20201MP98,18.0,7.0,0,,,MP98,2020,,,,447817.72,207173.76,True,3.0,0.27349666666666667,0.34460299192782523,4.0,61.0,452.063,0.3416440111111111,,,
20201O105,20.0,7.0,6,vz31376,tw41898,O105,2020,False,,5.0,445697.33,207743.71,True,2.0,0.47065,0.37746469943019945,2.0,42.0,240.30700000000002,0.3487540666666667,,0.5,884.8
20201O107,22.0,10.0,10,vz32719,vz33113,O107,2020,True,SW109A,5.0,445709.33,207638.71,True,2.0,0.50982,0.38495802350427355,6.0,42.0,191.052,0.4426596583333334,662.9,0.6,940.2
20201O109,20.0,4.0,2,,tw41858,O109,2020,,,,445869.33,207566.71,True,1.0,,0.36803028774928775,2.0,33.0,186.857,0.4525851666666667,,,
20201O112,13.0,11.0,11,tw41856,vz33938,O112,2020,False,,6.0,445957.33,207531.71,True,,,,,,,,,0.6,997.4
20201O113,34.0,6.0,0,,,O113,2020,,,,445853.33,207841.75,False,,,,,,,,,,
20201O115,17.0,9.0,8,ty70701,tl38938,O115,2020,False,,6.0,445904.33,207703.71,True,1.0,,0.31634980199430196,0.0,30.0,206.05300000000003,0.35200891666666667,,0.7,1197.3
20201O21,14.0,9.0,9,vz33556,te80789,O21,2020,False,,6.0,445270.72,207991.76,True,3.0,0.35504,0.3581259178537512,6.0,50.0,181.822,0.34882786666666665,,0.6,232.5
20201O27,18.0,10.0,10,tw41625,ty70703,O27,2020,False,,5.0,445124.72,207881.76,True,1.0,,0.3317681695156695,2.0,32.0,197.06300000000002,0.36940406666666664,,0.6,232.5
20201O27A,21.0,10.0,0,,tw41870,O27A,2020,,,,445122.72,207833.76,True,2.0,0.25867,0.3670185548433048,8.0,43.0,200.2,0.40699586666666665,,,
20201O28,19.0,8.0,0,,,O28,2020,,,,445160.95,207823.54,True,3.0,0.3950633333333333,0.3877961001899335,4.0,52.0,182.102,0.38080292222222223,,,
20201O3,19.0,7.0,2,tl38436,vz33534,O3,2020,True,EX7,5.0,445269.72,208067.76,True,1.0,,0.38599523504273503,0.0,32.0,212.24,0.3805740666666667,523.7,0.7,629.6
20201O32,20.0,8.0,8,vz30799,ty70715,O32,2020,False,,6.0,445251.72,207852.76,True,2.0,0.23422,0.3632207485754986,4.0,43.0,164.85999999999999,0.3905449,,0.6,232.5
20201O36,20.0,9.0,5,tv44361,vz33559,O36,2020,True,O38A,6.0,445310.72,207766.76,True,5.0,0.44970699999999997,0.38442614786324786,2.0,71.0,167.829,0.3857541333333333,110.9,0.7,351.0
20201O38A,19.0,11.0,9,ty70704,ty70705,O38A,2020,False,,5.0,445296.72,207656.76,True,2.0,0.44416,0.3896594415954416,0.0,45.0,186.359,0.38915791666666666,,0.6,348.7
20201O40,24.0,8.0,8,ty70509,ts46391,O40,2020,False,,5.0,445462.72,207850.76,True,,,,,,,,,0.6,291.0
20201O48,25.0,7.0,0,,,O48,2020,,,,445470.72,207553.76,True,,,,,,,,,,
20201O50,17.0,12.0,11,vz32987,ty70759,O50,2020,True,O52,,445431.72,207610.76,True,2.0,0.26759,0.3597399330484331,2.0,47.0,194.878,0.367011775,77.1,0.6,495.2
20201O52,12.0,8.0,8,vj57893,tv44478,O52,2020,False,,6.0,445377.72,207665.76,True,3.0,0.41641333333333336,0.3694136025641026,6.0,55.0,186.676,0.3823270222222222,,0.6,348.7
